Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
EMR Utility Belt_Where to Buy,STRING,2,1026,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Where to Buy,EMR Utility Belt_Where to Buy,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 14 Value,STRING,2,1027,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 14 Value,,,,,,EMR,Generic Spec 14 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 15 Label,STRING,2,1028,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 15 Label,,,,,,EMR,Generic Spec 15 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 15 Value,STRING,2,1029,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 15 Value,,,,,,EMR,Generic Spec 15 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 16 Label,STRING,2,1030,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 16 Label,,,,,,EMR,Generic Spec 16 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View Replacement CTA,STRING,2,1030,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View Replacement,EMR View Replacement CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 16 Value,STRING,2,1031,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 16 Value,,,,,,EMR,Generic Spec 16 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View Drawing CTA,STRING,2,1031,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View Drawing,EMR View Drawing CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 17 Label,STRING,2,1032,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 17 Label,,,,,,EMR,Generic Spec 17 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 17 Value,STRING,2,1033,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 17 Value,,,,,,EMR,Generic Spec 17 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 18 Label,STRING,2,1034,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 18 Label,,,,,,EMR,Generic Spec 18 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View Animation CTA,STRING,2,1034,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View Animation,EMR View Animation CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 18 Value,STRING,2,1035,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 18 Value,,,,,,EMR,Generic Spec 18 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 19 Label,STRING,2,1036,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 19 Label,,,,,,EMR,Generic Spec 19 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View in Select CTA,STRING,2,1036,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View in Select,EMR View in Select CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 19 Value,STRING,2,1037,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 19 Value,,,,,,EMR,Generic Spec 19 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 20 Label,STRING,2,1038,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 20 Label,,,,,,EMR,Generic Spec 20 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 20 Value,STRING,2,1039,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 20 Value,,,,,,EMR,Generic Spec 20 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 21 Label,STRING,2,1040,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 21 Label,,,,,,EMR,Generic Spec 21 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 21 Value,STRING,2,1041,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 21 Value,,,,,,EMR,Generic Spec 21 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 22 Label,STRING,2,1042,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 22 Label,,,,,,EMR,Generic Spec 22 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 22 Value,STRING,2,1043,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 22 Value,,,,,,EMR,Generic Spec 22 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 23 Label,STRING,2,1044,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 23 Label,,,,,,EMR,Generic Spec 23 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 23 Value,STRING,2,1045,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 23 Value,,,,,,EMR,Generic Spec 23 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 24 Label,STRING,2,1046,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 24 Label,,,,,,EMR,Generic Spec 24 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 24 Value,STRING,2,1047,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 24 Value,,,,,,EMR,Generic Spec 24 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 25 Label,STRING,2,1048,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 25 Label,,,,,,EMR,Generic Spec 25 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 25 Value,STRING,2,1049,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 25 Value,,,,,,EMR,Generic Spec 25 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Actuation,STRING,1,2002,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Actuation,EMR Actuation,,,,,,EMR,Actuation,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Actuation Lookup Table,TRUE,TRUE
EMR Amperage,STRING,1,2006,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Amperage,EMR Amperage,,,,,,EMR,Amperage,TRUE,50,,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Amperage Lookup Table,TRUE,TRUE
EMR Approvals,STRING,1,2008,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Approvals,EMR Approvals,,,,,,EMR,Approvals,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Approvals Lookup Table,TRUE,TRUE
EMR Area Classification,STRING,1,2010,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Area Classification,EMR Area Classification,,,,,,EMR,Area Classification,TRUE,50,,400,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Area Classification Lookup Table,TRUE,TRUE
EMR Availability,STRING,2,2012,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Availability,EMR Availability,,,,,,EMR,Availability,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Battery Type,STRING,2,2014,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Battery Type,EMR Battery Type,,,,,,EMR,Battery Type,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Body Design,STRING,1,2016,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Body Design,EMR Body Design,,,,,,EMR,Body Design,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Body Design Lookup Table,TRUE,TRUE
EMR Bore,STRING,2,2017,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Bore,EMR Bore,,,,,,EMR,Bore,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Breaker Type,STRING,2,2021,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Breaker Type,EMR Breaker Type,,,,,,EMR,Breaker Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Cable Entry Size,STRING,2,2026,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Cable Entry Size,EMR Cable Entry Size,,,,,,EMR,Cable Entry Size,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Cable Length,STRING,1,2027,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Cable Length,EMR Cable Length,,,,,,EMR,Cable Length,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Cable Length Lookup Table,TRUE,TRUE
EMR Capacity Range,STRING,2,2031,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Capacity Range,EMR Capacity Range,,,,,,EMR,Capacity Range,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Certifications,STRING,1,2032,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Certifications,EMR Certifications,,,,,,EMR,Certifications,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Certifications Lookup Table,TRUE,TRUE
EMR Coil Class,STRING,2,2034,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Coil Class,EMR Coil Class,,,,,,EMR,Coil Class,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Coil Voltage,STRING,2,2036,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Coil Voltage,EMR Coil Voltage,,,,,,EMR,Coil Voltage,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Communication Protocol,STRING,1,2040,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Communication Protocol,EMR Communication Protocol,,,,,,EMR,Communication Protocol,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Communication Protocol Lookup Table,TRUE,TRUE
EMR Conduit Hub Size,STRING,2,2042,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Conduit/Hub Size,EMR Conduit Hub Size,,,,,,EMR,Conduit/Hub Size,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Contacts,STRING,2,2050,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Contacts,EMR Contacts,,,,,,EMR,Contacts,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Control Type,STRING,1,2052,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Control Type,EMR Control Type,,,,,,EMR,Control Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Control Type Lookup Table,TRUE,TRUE
EMR Cooling System,STRING,1,2055,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Cooling System,EMR Cooling System,,,,,,EMR,Cooling System,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Cooling System Lookup Table,TRUE,TRUE
EMR Country,STRING,1,2057,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Country,EMR Country,,,,,,EMR,Country,FALSE,250,1,1300,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,TRUE,FALSE
EMR Critical Service,STRING,1,2059,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Critical Service,EMR Critical Service,,,,,,EMR,Critical Service,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Critical Service Attribute Lookup Table,TRUE,TRUE
EMR Data Interface,STRING,1,2063,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Data Interface,EMR Data Interface,,,,,,EMR,Data Interface,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Data Interface Lookup Table,TRUE,TRUE
EMR Diagnostics,STRING,1,2066,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Diagnostics,EMR Diagnostics,,,,,,EMR,Diagnostics,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Diagnostics Lookup Table,TRUE,TRUE
EMR DimView DXF 2D,STRING,2,2067,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,DimView DXF 2D,EMR DimView DXF 2D,,,,,,EMR,DimView DXF 2D,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR DimView IGES 3D,STRING,2,2068,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,DimView IGES 3D,EMR DimView IGES 3D,,,,,,EMR,DimView IGES 3D,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR DimView ProE3D,STRING,2,2069,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,DimView ProE3D,EMR DimView ProE3D,,,,,,EMR,DimView ProE3D,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR DimView STEP 3D,STRING,2,2070,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,DimView STEP 3D,EMR DimView STEP 3D,,,,,,EMR,DimView STEP 3D,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR EER,STRING,2,2075,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,EER,EMR EER,,,,,,EMR,EER,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Electrical Connection,STRING,2,2079,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Electrical Connection,EMR Electrical Connection,,,,,,EMR,Electrical Connection,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Enclosure Type,STRING,1,2081,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Enclosure Type,EMR Enclosure Type,,,,,,EMR,Enclosure Type,TRUE,50,,240,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Enclosure Type Lookup Table,TRUE,TRUE
EMR Factory Sealed,STRING,1,2083,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Factory Sealed,EMR Factory Sealed,,,,,,EMR,Factory Sealed,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Factory Sealed Lookup Table,TRUE,TRUE
EMR Finish,STRING,1,2084,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Finish,EMR Finish,,,,,,EMR,Finish,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Finish Lookup Table,TRUE,TRUE
EMR Fixture Size,STRING,2,2087,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Fixture Size,EMR Fixture Size,,,,,,EMR,Fixture Size,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Flow Characteristics,STRING,1,2088,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Flow Characteristics,EMR Flow Characteristics,,,,,,EMR,Flow Characteristics,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Flow Characteristics Lookup Table,TRUE,TRUE
EMR Flow Cv,STRING,2,2089,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Flow (Cv),EMR Flow Cv,,,,,,EMR,Flow (Cv),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Flow Direction,STRING,2,2090,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Flow Direction,EMR Flow Direction,,,,,,EMR,Flow Direction,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Flow L M,STRING,2,2092,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Flow (L/M),EMR Flow L M,,,,,,EMR,Flow (L/M),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Flow SCFM,STRING,2,2095,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Flow (SCFM),EMR Flow SCFM,,,,,,EMR,Flow (SCFM),TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Fluid State,STRING,1,2096,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Fluid Type,EMR Fluid State,,,,,,EMR,Fluid Type,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Fluid State Lookup Table,TRUE,TRUE
EMR Frequency,STRING,1,2097,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Frequency,EMR Frequency,,,,,,EMR,Frequency,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Frequency Lookup Table,TRUE,TRUE
EMR Function,STRING,2,2099,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Function,EMR Function,,,,,,EMR,Function,TRUE,50,,250,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR HVAC System Type,STRING,1,2106,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,System Type,EMR HVAC System Type,,,,,,EMR,System Type,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,System Type Lookup Table,TRUE,TRUE
EMR Heater,STRING,1,2108,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Heater,EMR Heater,,,,,,EMR,Heater,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Heater Lookup Table,TRUE,FALSE
EMR Hertz,STRING,2,2110,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Hertz,EMR Hertz,,,,,,EMR,Hertz,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Horsepower Range,STRING,2,2111,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Horsepower,EMR Horsepower Range,,,,,,EMR,Horsepower,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Horsepower Ratings,STRING,2,2112,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Horsepower Ratings,EMR Horsepower Ratings,,,,,,EMR,Horsepower Ratings,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Housing,STRING,2,2114,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Housing,EMR Housing,,,,,,EMR,Housing,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Hub Arrangement Configuration,STRING,2,2115,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Hub Arrangement/Configuration,EMR Hub Arrangement Configuration,,,,,,EMR,Hub Arrangement/Configuration,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Ignitor Voltage,STRING,2,2122,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Ignitor Voltage,EMR Ignitor Voltage,,,,,,EMR,Ignitor Voltage,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Industry,STRING,1,2123,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Industry,EMR Industry,,,,,,EMR,Industry,TRUE,50,,1000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,Industry Attribute Lookup Table,TRUE,TRUE
EMR Input Power,STRING,2,2124,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Input Power,EMR Input Power,,,,,,EMR,Input Power,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Input Signal,STRING,1,2125,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Input Signal,EMR Input Signal,,,,,,EMR,Input Signal,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Input Signal Lookup Table,TRUE,TRUE
EMR Input Voltage Range,STRING,2,2126,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Input Voltage Range,EMR Input Voltage Range,,,,,,EMR,Input Voltage Range,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Installation Type,STRING,1,2127,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Installation Type,EMR Installation Type,,,,,,EMR,Installation Type,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Installation Type Lookup Table,TRUE,TRUE
EMR Instrument Type,STRING,2,2128,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Instrument Type,EMR Instrument Type,,,,,,EMR,Instrument Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Item Type,STRING,2,2130,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Item Type,EMR Item Type,,,,,,EMR,Item Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Lamp Type,STRING,2,2135,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Lamp Type,EMR Lamp Type,,,,,,EMR,Lamp Type,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Length,STRING,2,2137,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Length,EMR Length,,,,,,EMR,Length,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Line Size,STRING,1,2140,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Nominal Pipe Size,EMR Line Size,,,,,,EMR,Nominal Pipe Size,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Line Size Lookup Table,TRUE,TRUE
EMR Lumens,STRING,2,2145,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Lumens,EMR Lumens,,,,,,EMR,Lumens,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Market,STRING,1,2149,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Market,EMR Market,,,,,,EMR,Market - C&RS Only,TRUE,50,,1000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,Market Attribute Lookup Table,TRUE,FALSE
EMR Material,STRING,2,2150,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Material,EMR Material,,,,,,EMR,Material,TRUE,50,,240,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
